cpu_name,cpu_cpu_mark_1,cpu_cpu_mark_2,cpu_cpu_mark_3,cpu_cpu_mark_4
Qualcomm Snapdragon 8cx Gen 2 5G,,,797.0,3115.5
MediaTek Dimensity 9000,,,1273.0,4324.0
Apple A12X Bionic,,,1120.0,4620.0
Qualcomm Snapdragon 8 Gen 1,,,1237.0,3659.0
Qualcomm Snapdragon 8cx,,,700.0,2760.0
Qualcomm Snapdragon 888 5G,,,1126.5,3601.0
Samsung Exynos 2200,,,1154.0,3560.0
Intel Core i7-2675QM,,,536.0,1928.0
AMD Ryzen 3 3350U,,,864.0,2455.0
Intel Pentium Gold 7505,,,1093.0,2326.0
AMD Ryzen 3 PRO 2300U,,,727.0,2156.0
Intel Core i5-10210Y,,,738.0,2735.0
Samsung Exynos 2100 5G,,,1100.0,3364.0
Qualcomm Snapdragon 865+ (Plus),,,980.0,3250.5
MediaTek Dimensity 1200,,,833.0,2689.5
Intel Core i5-8200Y,,,900.0,1934.0
Intel Core i3-L13G4,,,816.0,1349.0
Intel Pentium Gold 6405U,,,595.0,1320.0
AMD Athlon Silver 3050U,,,743.0,1429.0
Qualcomm Snapdragon 780G 5G,,,809.0,2998.0
HiSilicon Kirin 990 5G,,,772.5,3076.5
Samsung Exynos 990,,,940.0,2787.0
Qualcomm Snapdragon 7c Gen 2,,,556.0,1630.0
Qualcomm Snapdragon 855+ / 855 Plus,,,751.0,2658.5
Apple A11 Bionic,,,927.0,2339.0
MediaTek Dimensity 1000+,,,796.0,2762.0
MediaTek Dimensity 920,,,814.0,2046.0
MediaTek Dimensity 820,,,652.0,2678.0
Samsung Exynos 9820,,,825.0,2259.0
MediaTek Dimensity 810,,,598.0,1809.0
HiSilicon Kirin 810,,,598.0,1919.5
Qualcomm Snapdragon 695 5G,,,697.0,2016.0
Qualcomm Snapdragon 845,,,466.0,2012.0
Qualcomm Snapdragon 765,,,592.5,1911.5
AMD 3015e,,,464.0,860.0
Qualcomm Snapdragon 690 5G,,,600.0,1794.5
Qualcomm Snapdragon 732G,,,565.0,1787.0
MediaTek Dimensity 700,,,562.5,1708.5
Qualcomm Snapdragon 720G,,,567.0,1694.0
Mediatek Helio G90T,,,503.0,1593.0
Qualcomm Snapdragon 480 5G,,,510.0,1663.0
Mediatek Helio P90,,,408.0,1524.0
Qualcomm Snapdragon 835 (8998),,,386.0,1669.0
Samsung Exynos 9611,,,347.5,1323.5
Mediatek Helio P65,,,354.0,1239.5
Qualcomm Snapdragon 710,,,393.0,1478.0
Qualcomm Snapdragon 665,,,310.5,1371.5
Qualcomm Snapdragon 660,,,330.5,1440.5
UNISOC T616,,,380.0,1392.0
UNISOC T606,,,312.0,1175.0
Mediatek Helio G88,,,365.0,1265.0
Mediatek Helio G80,,,370.0,1345.0
HiSilicon Kirin 710,,,330.5,1338.0
Mediatek Helio P60T,,,263.0,926.0
Mediatek MT8183,,,301.5,1198.5
Samsung Exynos 850,,,180.0,1061.5
Mediatek Helio G35,,,166.5,758.0
Apple A8,,,328.0,627.0
Mediatek Helio A25,,,138.5,860.0
Qualcomm Snapdragon 632,,,271.0,1233.0
UNISOC SC9863A,,,145.0,782.0
Qualcomm Snapdragon 439,,,176.0,823.0
Mediatek Helio P22T MT8768T,,,172.0,920.0
Apple A7,,,276.0,502.0
Qualcomm Snapdragon 450,,,131.0,498.0
Qualcomm Snapdragon 429,,,168.0,566.0
Mediatek MT8766B,,,133.0,455.0
Mediatek MT6737,,,58.0,291.0
Mediatek MT6580M,,,63.0,248.0
Intel Xeon W-10855M,,,1296.0,6231.0
AMD Ryzen 5 4600HS,,,1100.0,6345.0
Intel Core i7-1068G7,,,1173.0,4449.0
Intel Xeon E3-1575M v5,,,953.0,4075.0
AMD Ryzen 3 PRO 4450U,,,1033.0,3657.0
Intel Core i3-10100F,,,1072.0,3650.0
Intel Core i7-8557U,,,1079.0,4119.0
Intel Core i7-1060NG7,,,1153.0,2940.0
Intel Core i7-4722HQ,,,750.0,2701.0
AMD Ryzen 7 PRO 2700U,,,882.0,3183.0
AMD Ryzen 5 2600H,,,812.0,3226.0
Intel Core i5-3470,,,675.0,2095.0
Intel Core i5-7287U,,,898.5,2193.0
Apple A12Z Bionic,,,1122.0,4709.5
Apple A14 Bionic,,,1593.0,4160.0
Microsoft SQ1,,,739.0,2875.0
Qualcomm Snapdragon 888 Plus 5G,,,1156.0,3644.0
Qualcomm Snapdragon 888 4G,,,1104.0,3143.0
Apple A13 Bionic,,,1332.0,3378.5
Intel Core i7-10510Y,,,1005.0,2728.0
Qualcomm Snapdragon 870 5G,,,998.0,3215.0
Qualcomm Snapdragon 865,,,910.0,3309.0
Intel Core i3-10110Y,,,996.0,1633.0
Apple A12 Bionic,,,1117.5,2814.5
Google Tensor,,,1041.0,2805.0
HiSilicon Kirin 990,,,770.0,2977.5
Qualcomm Snapdragon 860,,,756.0,2712.5
Qualcomm Snapdragon 7c,,,620.0,1725.0
Qualcomm Snapdragon 855,,,744.0,2694.0
Apple A10X Fusion,,,850.0,2324.0
MediaTek Dimensity 900,,,726.5,2171.5
Intel Celeron 5205U,,,480.0,912.0
Intel Celeron N5100,,,631.0,1788.0
Samsung Exynos 9825,,,834.0,2331.0
HiSilicon Kirin 820,,,642.0,2434.0
MediaTek Dimensity 800,,,523.0,2143.0
HiSilicon Kirin 980,,,707.0,2558.0
Qualcomm Snapdragon 850,,,488.0,1923.0
Qualcomm Snapdragon 765G,,,606.0,1810.0
Qualcomm Snapdragon 750G 5G,,,656.0,1885.0
MediaTek Dimensity 800U,,,599.0,1779.5
Qualcomm Snapdragon 730G,,,547.0,1744.5
Qualcomm Snapdragon 730,,,545.0,1713.5
Mediatek Helio G95,,,509.0,1675.0
Qualcomm Snapdragon 480 Plus 5G,,,540.0,1661.0
MediaTek Dimensity 720,,,511.0,1627.0
Qualcomm Snapdragon 675,,,486.0,924.0
UNISOC Tangula T740,,,367.0,1727.0
Apple A10 Fusion,,,777.0,1421.0
Mediatek Helio P70,,,295.0,1443.0
Qualcomm Snapdragon 670,,,349.0,1343.0
Qualcomm Snapdragon 662,,,314.0,1389.0
UNISOC T618,,,384.0,1309.0
UNISOC T610,,,351.0,1330.0
UNISOC Tangula T700,,,351.5,1342.0
Mediatek Helio G85,,,353.5,1300.5
Mediatek Helio G70,,,387.5,1307.5
HiSilicon Kirin 710A,,,297.0,1312.0
Mediatek Helio P60,,,293.5,1430.5
Apple A9,,,531.0,970.0
Mediatek Helio P25,,,177.0,891.0
Mediatek MT8768,,,152.0,780.0
Mediatek Helio G25,,,141.0,650.0
Samsung Exynos 7904,,,239.0,596.0
Qualcomm Snapdragon 460,,,254.0,1155.0
Mediatek Helio P23 MT6763V,,,150.0,875.0
Mediatek Helio P35 MT6765,,,168.5,934.5
Mediatek Helio P22 MT6762,,,137.0,805.0
MediaTek MT8168,,,144.0,500.0
Mediatek Helio A22 MT6761,,,134.0,439.0
Mediatek Helio A20 MT6761D,,,143.5,477.0
