cpu_name,cpu_cpu_mark_1,cpu_cpu_mark_2,cpu_cpu_mark_3,cpu_cpu_mark_4
Intel Core i7-4790T,152.0,674.0,,
Intel Core i7-6820HK,152.0,709.0,,
Intel Core i7-6770HQ,134.5,711.0,,
Intel Core i7-1065G7,178.56,663.0,1316.0,4439.0
AMD Ryzen 7 3780U,166.0,788.0,940.0,3050.0
Intel Core i5-8259U,152.0,615.0,984.0,3359.0
Intel Core i7-4900MQ,145.0,641.0,,
Intel Core i7-10510U,182.0,681.0,1212.0,3692.0
Intel Core i7-4810MQ,148.0,647.0,,
AMD Ryzen 3 1300X,152.0,558.0,920.0,5210.0
Intel Core i5-1035G4,169.0,602.5,1235.0,3986.0
AMD Ryzen 7 3700U,139.0,672.0,,
Intel Core i5-10310U,170.04,545.63,1122.0,3717.5
Intel Core i7-8665U,180.0,670.0,1039.0,2671.0
Intel Core i5-10210U,166.0,616.0,1079.0,3689.0
Intel Core i7-4720HQ,138.0,642.0,,
Intel Core i7-4710HQ,135.0,646.0,,
Intel Core i7-8565U,173.0,608.5,1135.5,3073.5
Intel Core i7-2600K,129.0,613.5,,
Intel Core i5-8365U,166.0,579.0,,
Intel Core i7-4700HQ,132.0,637.0,,
Intel Core i5-8265U,159.0,601.5,1043.0,3568.0
Intel Xeon E3-1226 v3,145.0,534.0,,
AMD Ryzen 5 3550H,144.5,743.32,895.5,3325.5
AMD Ryzen 3 5300U,170.0,915.0,1060.0,3960.5
AMD Ryzen 5 3500U,143.0,650.0,898.5,3155.5
Intel Core i5-1130G7,179.0,616.67,1321.5,4802.0
AMD Ryzen 5 3580U,139.0,693.0,900.0,2990.0
Intel Core i5-6500,146.5,541.5,,
Intel Core i7-8550U,163.0,553.0,,
Intel Core i3-1115G4,193.0,494.0,1311.5,2505.5
Intel Core i3-1005G1,157.0,405.0,1159.5,2425.5
Intel Core i3-8109U,153.0,381.0,,
Intel Core i7-4712HQ,121.5,517.5,,
Intel Core i7-4750HQ,123.0,612.0,,
Intel Core i7-4702MQ,124.0,575.0,,
AMD FX-8350,97.0,636.0,,
Intel Core i5-6600T,138.0,464.5,,
Intel Core i5-6440HQ,145.0,513.0,,
Intel Core i7-3632QM,113.0,521.0,,
Intel Core i5-8350U,150.5,569.0,,
Intel Core i5-7500T,129.0,512.0,,
Intel Core i5-8250U,143.5,563.0,912.5,3273.5
AMD Ryzen 5 PRO 2500U,134.0,553.0,887.0,3135.0
Intel Core i7-7560U,153.0,336.0,,
Intel Core i5-6500T,128.0,466.0,,
Intel Core i5-7267U,141.0,383.0,,
Intel Core i3-8145U,148.5,351.5,,
AMD Ryzen 3 3300U,134.0,471.0,824.0,2578.0
AMD Ryzen 3 2300U,79.0,422.53,783.0,2360.0
Intel Core i5-7300U,142.0,340.0,,
Intel Core i5-7260U,142.0,373.0,920.0,2064.0
Intel Core i5-6287U,143.0,345.0,882.0,1988.5
Intel Core i5-6267U,131.0,330.0,,
Intel Core i5-4210H,129.0,330.0,,
Intel Core i3-8121U,133.0,317.56,,
AMD A10-6800K,100.0,326.0,,
AMD A10-7850K,86.0,318.0,,
Intel Core i7-6650U,132.0,342.0,,
Intel Core i5-7200U,128.0,327.0,,
Intel Core i3-7100H,130.0,327.5,,
Intel Core i7-5600U,130.0,297.0,,
Intel Core i5-6360U,125.0,309.0,,
Intel Core i5-6300U,122.0,307.0,,
AMD A8-7650K,84.0,296.0,,
Intel Core i7-5500U,121.0,289.0,,
Intel Core i5-4258U,112.0,283.0,724.0,1588.0
AMD A8-5600K,87.0,292.0,,
Intel Core i7-4650U,123.0,256.0,,
Intel Core i5-6198DU,117.0,290.0,,
Intel Core i3-7130U,111.0,284.0,,
Intel Core i5-5300U,117.0,270.0,,
Intel Core i7-4510U,119.0,244.0,,
Intel Core i7-4500U,116.0,260.0,,
Intel Core i7-7Y75,126.0,258.0,,
Intel Core i3-10100Y,122.0,220.0,986.0,1889.0
AMD FX-9830P,93.0,301.0,,
Intel Pentium G4500T,118.0,245.0,,
AMD Ryzen Embedded R1606G,139.0,317.0,877.0,1903.0
AMD Ryzen 3 2200U,117.0,312.0,667.0,1267.0
AMD Ryzen Embedded R1505G,97.3,264.0,612.0,1353.0
Intel Core i5-5250U,107.0,260.0,691.0,1427.0
Intel Core i3-5157U,98.0,259.0,,
Intel Core i5-7Y54,115.0,234.0,,
AMD Athlon 300U,119.0,308.0,867.0,1840.0
Intel Core m3-7Y32,120.0,265.0,773.0,1576.0
Intel Celeron J4105,73.0,270.0,,
AMD PRO A12-9800B,75.0,225.0,,
Intel Pentium Gold 5405U,91.1,227.0,570.0,1255.0
Intel Core i3-4000M,95.0,240.0,,
Intel Core i5-3437U,101.0,224.0,,
AMD A12-9700P,79.0,225.5,,
AMD Pro A12-8800B,72.0,206.0,,
Intel Core i5-4260U,105.0,239.0,,
Intel Core m7-6Y75,102.0,205.0,,
Intel Core i3-7020U,93.0,227.0,,
Intel Pentium Gold 4417U,89.0,228.0,,
AMD PRO A8-9600B,71.0,203.0,,
AMD FX-7600P,75.0,228.0,487.0,1438.0
Intel Core i3-5015U,85.0,214.0,,
Intel Core i3-5005U,82.0,208.0,531.0,1150.0
Intel Core m5-6Y57,101.0,180.0,,
AMD A10-8700P,69.0,194.0,,
Intel Pentium Silver N6005,115.0,293.0,650.5,1625.5
Intel Core i7-4610Y,107.0,192.0,,
Intel Pentium Silver N5030,80.88,225.97,512.0,1221.0
Intel Celeron J4125,76.15,245.5,458.5,1447.5
AMD A10-5750M,76.0,209.0,493.0,1326.0
Intel Core M-5Y71,96.0,187.0,,
