name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
NVIDIA GeForce GT 625M,,921.0,,
NVIDIA GeForce GT 525M,,799.0,,7058.5
AMD Radeon HD 7640G,,655.5,,4173.0
AMD Radeon HD 7600G,,628.0,,3504.0
AMD Radeon HD 6520G + HD 7450M Dual Graphics,,1006.0,,4786.0
AMD Radeon HD 6490M,,601.0,,5571.0
NVIDIA GeForce GT 520MX,,596.5,,5296.0
NVIDIA NVS 4200M,,507.0,,4929.0
AMD Radeon HD 7450M,,581.5,,4346.5
NVIDIA GeForce GT 520M,,502.0,,4742.5
NVIDIA GeForce GT 415M,,379.0,,4193.5
AMD Radeon HD 6450M,,443.0,,3845.5
AMD Radeon HD 6290,,179.0,,1513.0
Intel Graphics Media Accelerator (GMA) 3600,,-1.0,,280.5
NVIDIA GeForce GTX 680M SLI,,10952.0,,26983.5
NVIDIA GeForce GTX 770M SLI,,9569.0,,
AMD Radeon R9 M390X,,9448.0,,
NVIDIA GeForce GTX 580M SLI,,6106.0,,23040.5
AMD Radeon HD 6970M Crossfire,,5541.5,,23318.5
NVIDIA GeForce GTX 480M SLI,,4229.0,,20144.0
NVIDIA GeForce GTX 580M,,3116.5,,20550.5
NVIDIA GeForce GT 650M SLI,,3597.0,,16841.5
NVIDIA GeForce GTX 485M,,2709.0,,19877.5
AMD Radeon HD 6970M,,2818.5,,17447.0
AMD Radeon HD 7870M,,2702.0,,
NVIDIA GeForce GTX 570M,,2399.0,,17004.5
AMD FirePro M6000,,2422.0,,17152.0
AMD Radeon HD 6950M,,2452.0,,13719.0
AMD Radeon HD 7850M,,2467.0,,14111.0
NVIDIA GeForce GTX 470M,,2002.5,,16562.0
NVIDIA GeForce GTX 560M,,1820.0,,15327.0
AMD Radeon HD 8770M,,1934.0,,12680.0
NVIDIA GeForce GTX 460M,,1623.0,,12942.0
AMD Radeon HD 7750M,,2085.0,,
AMD Radeon HD 7730M,,1478.0,,9615.0
Qualcomm Adreno 685,,1927.0,,
AMD Radeon HD 7690M XT,,1346.0,,10919.0
NVIDIA GeForce GT 640M LE,,1259.0,,8858.0
NVIDIA GeForce GT 635M,,1110.0,,8517.5
AMD Radeon HD 6850M,,1469.5,,9336.0
NVIDIA GeForce GT 445M,,1148.0,,10304.0
AMD Radeon HD 7690M,,1141.0,,9660.0
AMD Radeon HD 6750M,,1158.5,,9361.0
NVIDIA GeForce GT 550M,,973.5,,8776.0
AMD Radeon HD 6730M,,1141.0,,7918.0
AMD Radeon R5 M320,,1652.0,,
AMD Radeon HD 8550M,,1307.0,,4700.0
NVIDIA GeForce GT 540M,,888.0,,7986.0
NVIDIA NVS 5400M,,1119.0,,9192.5
AMD Radeon HD 7660G,,1057.0,,7317.0
AMD Radeon HD 6680G2,,1061.0,,4795.0
AMD Radeon HD 6550M,,993.0,,7143.0
AMD Radeon HD 7650M,,945.5,,7333.0
NVIDIA GeForce GT 425M,,753.0,,6706.5
NVIDIA GeForce GT 420M,,685.0,,6148.0
AMD Radeon HD 6620G,,650.0,,3595.5
AMD Radeon HD 6540G2,,987.0,,4026.0
AMD Radeon HD 6480G + HD 7450M Dual Graphics,,977.0,,3648.0
AMD Radeon HD 7470M,,522.0,,3624.5
AMD Radeon HD 7520G,,559.0,,4332.0
AMD Radeon HD 6510G2,,1015.0,,4313.0
NVIDIA GeForce 610M,,507.5,,4598.0
AMD Radeon HD 6470M,,535.0,,4502.0
AMD Radeon HD 6520G,,492.0,,3322.0
AMD Radeon HD 6480G,,467.0,,3497.0
NVIDIA GeForce 410M,,415.0,,4035.0
AMD Radeon HD 6320,,302.0,,2406.5
AMD Radeon HD 6310,,251.0,,1984.5
AMD Radeon HD 7290,,206.0,,1536.0
AMD Radeon HD 6250,,172.0,,1446.5
ATI Mobility Radeon HD 5870 Crossfire,,,,16521.0
NVIDIA GeForce GTX 285M SLI,,,,16608.0
NVIDIA GeForce GTX 280M SLI,,,,15000.0
AMD Radeon HD 6870M,,,,14396.0
NVIDIA GeForce GTX 285M,,,,12988.5
NVIDIA GeForce GTX 280M,,,,12551.0
NVIDIA GeForce 9800M GT SLI,,,,14400.0
NVIDIA GeForce 9800M GTS SLI,,,,14075.0
NVIDIA GeForce 8800M GTX SLI,,,,11565.0
NVIDIA Quadro FX 3700M,,,,11000.0
ATI FirePro M7740,,,,12109.5
NVIDIA GeForce GTX 260M,,,,10064.0
NVIDIA Quadro FX 2800M,,,,11358.5
NVIDIA GeForce 9800M GT,,,,9258.0
NVIDIA Quadro FX 3600M,,,,8135.5
NVIDIA GeForce GTS 360M,,,,9865.0
NVIDIA GeForce 9800M GTS,,,,9501.5
NVIDIA GeForce 9800M GS,,,,8449.5
NVIDIA GeForce 8800M GTS,,,,8385.0
ATI Mobility Radeon HD 5730,,,,7265.0
NVIDIA GeForce GTS 250M,,,,7484.0
NVIDIA Quadro FX 2700M,,,,7660.0
AMD Radeon HD 7500G + HD 7550M Dual Graphics,,,,6404.0
ATI Mobility Radeon HD 3870,,,,8635.5
ATI Mobility Radeon HD 560v,,,,6224.0
NVIDIA GeForce Go 7950 GTX SLI,,,,7472.0
NVIDIA GeForce GT 330M,,,,6232.0
NVIDIA Quadro NVS 5100M,,,,6325.0
NVIDIA GeForce Go 7950 GTX,,,,5659.0
NVIDIA GeForce 8700M GT SLI,,,,8176.0
NVIDIA GeForce GT 230M,,,,5647.0
NVIDIA GeForce GT 325M,,,,5373.0
NVIDIA GeForce 8600M GT SLI,,,,6614.0
NVIDIA GeForce GT 130M,,,,4950.0
NVIDIA GeForce Go 7900 GTX,,,,4503.0
NVIDIA GeForce 9650M GS,,,,4830.0
NVIDIA GeForce 8700M GT,,,,4804.0
NVIDIA Quadro FX 1600M,,,,4915.5
NVIDIA GeForce Go 7900 GS,,,,3519.0
NVIDIA Quadro FX 1500M,,,,4074.0
NVIDIA GeForce GT 220M,,,,4010.0
NVIDIA GeForce GT 120M,,,,5225.0
AMD FirePro M3900,,,,4997.0
NVIDIA GeForce 320M,,,,4229.5
ATI Mobility Radeon HD 2600 XT,,,,4179.0
ATI Mobility Radeon X1800,,,,2681.0
NVIDIA GeForce Go 7800,,,,2200.0
NVIDIA GeForce 9500M GS,,,,3705.5
ATI Mobility Radeon HD 5470,,,,3683.5
ATI Mobility Radeon HD 3650,,,,3360.0
ATI Mobility Radeon HD 5145,,,,3661.0
NVIDIA Quadro FX 570M,,,,3800.0
NVIDIA GeForce 8600M GT,,,,3277.0
Intel HD Graphics 3000,,,,3286.5
NVIDIA GeForce 310M,,,,3206.0
NVIDIA NVS 3100M,,,,3257.0
NVIDIA GeForce Go 7600 GT,,,,2833.0
NVIDIA GeForce 8600M GS,,,,3027.5
NVIDIA GeForce Go 7700,,,,2685.5
NVIDIA Quadro FX Go 1400,,,,1306.0
ATI Mobility Radeon HD 5430,,,,3082.0
ATI Mobility Radeon HD 540v,,,,3494.0
ATI Mobility Radeon HD 4530,,,,2902.0
ATI Mobility Radeon HD 530v,,,,2947.0
ATI Mobility Radeon X1700,,,,2139.0
ATI Mobility Radeon X2500,,,,2100.0
ATI Mobility Radeon X800,,,,1300.0
ATI Mobility FireGL V5200,,,,1203.5
NVIDIA GeForce Go 6600,,,,1150.0
ATI Mobility Radeon X700,,,,735.0
ATI Mobility Radeon HD 4330,,,,2352.0
NVIDIA Quadro NVS 140M,,,,1410.0
NVIDIA GeForce G 105M,,,,2261.0
NVIDIA GeForce G 102M,,,,1409.0
NVIDIA GeForce 9400M (G) / ION (LE),,,,1157.0
ATI Mobility Radeon HD 3470,,,,1566.0
NVIDIA ION 2,,,,1963.0
NVIDIA Quadro FX 370M,,,,1595.0
NVIDIA GeForce 9200M GS,,,,1817.5
ATI Mobility Radeon HD 3430,,,,1690.0
ATI Mobility Radeon HD 2400 XT,,,,1689.0
ATI Radeon HD 4250,,,,1372.0
Intel Graphics Media Accelerator (GMA) HD Graphics,,,,1420.0
NVIDIA Quadro NVS 150M,,,,1561.0
ATI Mobility Radeon X1350,,,,1088.0
NVIDIA GeForce 9100M G,,,,1200.0
NVIDIA Quadro NVS 135M,,,,965.0
ATI Radeon HD 3200,,,,891.0
ATI Radeon HD 3100,,,,1164.0
NVIDIA Quadro NVS 130M,,,,1115.0
Intel Graphics Media Accelerator (GMA) 4500MHD,,,,623.0
NVIDIA GeForce Go 7400,,,,801.5
NVIDIA Quadro NVS 120M,,,,660.0
NVIDIA Quadro NVS 110M,,,,600.0
ATI Mobility Radeon X2300,,,,892.0
ATI Mobility Radeon 9700,,,,424.0
NVIDIA GeForce Go 7200,,,,674.0
ATI Radeon Xpress X1270,,,,327.5
ATI Radeon Xpress 1250,,,,445.0
Intel Graphics Media Accelerator (GMA) X3100,,,,430.5
NVIDIA GeForce 7150M,,,,315.0
NVIDIA GeForce Go 6150,,,,200.0
NVIDIA GeForce 7000M,,,,274.0
Intel Graphics Media Accelerator (GMA) 3150,,,,144.0
Intel Graphics Media Accelerator (GMA) 900,,,,57.0
ATI Radeon Xpress 1100,,,,97.0
SIS Mirage 3 671MX,,,,68.0
Intel Graphics Media Accelerator (GMA) 500,,,,68.0
AMD FirePro M8900,,,,16703.0
ATI Mobility Radeon HD 4870 X2,,,,14120.0
NVIDIA GeForce GTX 260M SLI,,,,11989.0
ATI Mobility Radeon HD 5870,,,,12830.5
NVIDIA Quadro 5000M,,,,12967.0
ATI FirePro M7820,,,,12531.5
NVIDIA GeForce 9800M GTX SLI,,,,11288.0
NVIDIA Quadro FX 3800M,,,,12923.0
ATI Mobility Radeon HD 4870,,,,10655.0
ATI Mobility Radeon HD 3870 X2,,,,13815.5
ATI Mobility Radeon HD 3850 X2,,,,12800.0
ATI Mobility Radeon HD 4850,,,,9784.0
NVIDIA GeForce 9800M GTX,,,,10138.0
ATI Mobility Radeon HD 5850,,,,9655.0
NVIDIA GeForce 8800M GTX,,,,9217.0
NVIDIA GeForce GTS 160M,,,,9327.0
ATI Mobility Radeon HD 5830,,,,8050.0
ATI Mobility Radeon HD 4830,,,,7155.0
ATI FirePro M5800,,,,7237.0
NVIDIA GeForce GTS 350M,,,,8303.5
NVIDIA Quadro FX 1800M,,,,7572.5
AMD Radeon HD 6530M,,,,7119.5
ATI Mobility Radeon HD 4670,,,,6828.0
NVIDIA GeForce 9700M GTS,,,,7779.0
NVIDIA GeForce GT 335M,,,,6892.0
ATI Mobility Radeon HD 5165,,,,6125.0
ATI Mobility Radeon HD 4650,,,,6207.0
NVIDIA GeForce Go 7900 GTX SLI,,,,6820.0
ATI Mobility Radeon HD 3850,,,,6095.0
NVIDIA Quadro FX 880M,,,,6378.0
NVIDIA GeForce GT 240M,,,,5952.0
NVIDIA Quadro FX 3500M,,,,5254.0
NVIDIA GeForce 9700M GT,,,,5908.5
ATI Mobility Radeon HD 550v,,,,5260.0
NVIDIA GeForce Go 7800 GTX SLI,,,,5269.0
NVIDIA GeForce Go 7900 GS SLI,,,,5076.0
NVIDIA Quadro FX 2500M,,,,4695.0
NVIDIA GeForce 9650M GT,,,,4880.0
NVIDIA Quadro FX 1700M,,,,6302.0
NVIDIA GeForce Go 7800 GTX,,,,4000.0
NVIDIA Quadro NVS 320M,,,,4769.0
NVIDIA GeForce 9600M GT,,,,5174.0
NVIDIA Quadro FX 770M,,,,5296.5
ATI Mobility Radeon HD 3670,,,,4389.5
NVIDIA GeForce GT 320M,,,,4706.0
ATI Mobility Radeon X1900,,,,3460.0
NVIDIA GeForce Go 6800 Ultra,,,,2500.0
NVIDIA GeForce 9600M GS,,,,4382.5
ATI Mobility Radeon HD 2700,,,,4067.5
AMD Radeon HD 6370M,,,,3999.0
ATI Mobility FireGL V5700,,,,4270.5
ATI Mobility Radeon HD 545v,,,,3760.0
ATI Mobility Radeon HD 4570,,,,3633.0
ATI Mobility Radeon HD 5450,,,,3775.5
ATI Mobility Radeon HD 2600,,,,3177.0
NVIDIA Quadro FX 380M,,,,3687.0
NVIDIA GeForce G210M,,,,3047.0
NVIDIA GeForce 315M,,,,3267.0
NVIDIA GeForce 9500M G,,,,3435.0
NVIDIA NVS 2100M,,,,2971.0
NVIDIA GeForce Go 6800,,,,1900.0
AMD Radeon HD 6380G,,,,2639.0
ATI Mobility Radeon HD 4550,,,,3449.0
ATI Mobility Radeon HD 4350,,,,3130.0
NVIDIA GeForce 305M,,,,3101.0
ATI Mobility FireGL V5250,,,,1672.0
NVIDIA GeForce Go 7600,,,,1900.0
ATI Mobility Radeon X1600,,,,1836.0
ATI Mobility Radeon 9800,,,,860.0
ATI Mobility Radeon X1450,,,,1085.0
NVIDIA GeForce G 110M,,,,2450.0
NVIDIA GeForce 8400M GT,,,,1033.0
Intel HD Graphics 2000,,,,2288.0
NVIDIA GeForce G 103M,,,,1885.0
NVIDIA GeForce G 205M,,,,1589.0
Intel HD Graphics (Sandy Bridge),,,,2509.0
ATI Mobility Radeon HD 3470 Hybrid X2,,,,2324.0
NVIDIA GeForce 9300M G,,,,1775.5
NVIDIA GeForce 9300M GS,,,,1465.0
NVIDIA Quadro NVS 160M,,,,1841.0
ATI Mobility Radeon HD 3450,,,,1911.5
ATI Mobility Radeon HD 3410,,,,1450.0
ATI Radeon HD 4270,,,,1402.0
ATI Radeon HD 4200,,,,1465.0
NVIDIA Quadro FX 360M,,,,1490.0
ATI Mobility Radeon X1400,,,,1064.0
NVIDIA GeForce 8400M GS,,,,1343.0
ATI Mobility Radeon HD 2400,,,,1215.0
ATI Radeon HD 4225,,,,1053.0
NVIDIA GeForce 8400M G,,,,912.0
NVIDIA GeForce 8200M G,,,,1250.0
Intel Graphics Media Accelerator (GMA) 4500M,,,,612.5
NVIDIA Quadro FX 350M,,,,680.0
NVIDIA GeForce Go 7300,,,,712.5
ATI Mobility Radeon X600,,,,280.0
ATI Mobility Radeon HD 2300,,,,834.5
ATI Mobility Radeon X1300,,,,725.0
ATI Mobility Radeon X300,,,,200.0
ATI Radeon Xpress X1250,,,,387.5
ATI Radeon Xpress X1200,,,,278.0
Intel Graphics Media Accelerator (GMA) 3650,,,,422.0
ATI Radeon Xpress 1150,,,,219.0
NVIDIA GeForce Go 6100,,,,173.0
Intel Graphics Media Accelerator (GMA) 950,,,,107.0
ATI Radeon Xpress 200M,,,,202.0
SIS Mirage 3+ 672MX,,,,145.0
Intel Graphics Media Accelerator (GMA) 600,,,,119.0
VIA Chrome9 HC,,,,115.0
