name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
NVIDIA Quadro M620,3130.0,3801.0,3130.0,24751.0
AMD Radeon R9 M280X,3498.0,4698.0,3498.0,11618.0
NVIDIA GeForce GTX 765M,2479.0,4019.0,2479.0,19624.0
NVIDIA Quadro P500,2254.5,3022.0,2254.5,
AMD Radeon RX Vega 10,2149.5,3389.0,2149.5,14890.0
NVIDIA GeForce GTX 675M,2331.0,3218.0,2331.0,20452.5
NVIDIA Quadro K3100M,2797.0,3581.0,2797.0,22437.5
AMD Radeon R9 M370X,2419.0,3637.5,2419.0,18481.0
NVIDIA GeForce GTX 760M,2271.0,3369.0,2271.0,19221.0
NVIDIA GeForce GTX 670M,1950.0,2698.0,1950.0,19451.5
NVIDIA Maxwell GPU Surface Book,2075.5,2577.0,2075.5,15111.0
AMD Radeon HD 8870M,2168.5,2986.0,2168.5,15675.0
Intel UHD Graphics Xe 32EUs (Tiger Lake-H),2576.5,3272.0,2576.5,
AMD FirePro M5100,2327.5,2967.0,2327.5,18391.0
NVIDIA GeForce MX230,2467.5,3363.5,2467.5,18399.0
NVIDIA Quadro K2100M,1606.0,2393.5,1606.0,15586.0
NVIDIA GeForce GTX 660M,1751.0,2369.0,1751.0,14704.0
AMD Radeon HD 8850M,1845.0,2349.0,1845.0,10281.5
AMD Radeon R7 M465,1740.0,,1740.0,
AMD FirePro W4170M,1766.0,2315.0,1766.0,13622.0
Intel Iris Pro Graphics 6200,1736.5,2766.0,1736.5,
NVIDIA GeForce 940MX,1996.0,2556.0,1996.0,12843.0
NVIDIA Quadro K1100M,1340.5,1826.5,1340.5,12159.0
AMD Radeon RX Vega 7,3340.0,5220.0,3340.0,19185.5
Intel Iris Plus Graphics G4 (Ice Lake 48 EU),2124.0,3225.0,2124.0,13031.0
NVIDIA Quadro M600M,2430.0,2911.0,2430.0,20563.0
AMD Radeon R9 M375,1667.0,3314.0,1667.0,11543.0
AMD Radeon R7 M445,1579.0,2208.0,1579.0,12657.0
NVIDIA GeForce GT 650M,1420.0,2111.5,1420.0,13514.0
NVIDIA Quadro M500M,1594.5,2364.5,1594.5,12377.5
AMD Radeon R7 M275DX,1931.5,3553.0,1931.5,12122.0
Intel Iris Pro Graphics 5200,1380.5,1923.0,1380.5,13123.0
Intel Iris Plus Graphics 650,1698.0,2761.5,1698.0,15175.0
Intel Iris Graphics 550,1638.0,2533.5,1638.0,15910.0
AMD Radeon RX Vega 6 (Ryzen 4000/5000),2797.5,4301.0,2797.5,14700.0
NVIDIA GeForce 830M,1386.5,1961.0,1386.5,10222.5
Intel Iris Plus Graphics 640,1393.5,2379.0,1393.5,14117.5
Intel Iris Graphics 540,1448.0,2211.5,1448.0,13568.5
NVIDIA GeForce GT 735M,1023.5,1713.0,1023.5,8527.0
AMD FirePro M4000,1713.0,1981.0,1713.0,13930.5
AMD Radeon HD 8550G + HD 8750M Dual Graphics,1303.0,2353.0,1303.0,8553.0
NVIDIA GeForce GT 645M,1151.5,1844.5,1151.5,11189.0
AMD Radeon HD 8750M,1276.5,1698.0,1276.5,8901.5
AMD Radeon R7 M265,1336.0,1882.0,1336.0,8876.0
NVIDIA GeForce GT 640M,1225.0,1728.0,1225.0,10625.5
AMD Radeon R7 (Kaveri),851.0,1734.0,851.0,7921.5
AMD Radeon R7 M460,1177.0,2139.0,1177.0,8587.0
NVIDIA GeForce 920M,1161.5,1718.5,1161.5,9003.5
AMD Radeon R8 M445DX,2209.0,3775.0,2209.0,8880.5
AMD Radeon R7 M440,1197.5,2245.0,1197.5,8800.0
AMD Radeon R7 M340,1208.5,2148.0,1208.5,8982.0
AMD Radeon R6 M340DX,1472.0,2681.0,1472.0,5388.0
AMD Radeon RX Vega 5,2438.0,3535.0,2438.0,15564.0
Intel UHD Graphics 630,1211.0,1789.5,1211.0,13216.5
Intel HD Graphics 630,1067.0,1729.0,1067.0,12419.0
Intel HD Graphics 530,935.0,1362.0,935.0,11309.0
Intel UHD Graphics 620,1166.0,1744.0,1166.0,10622.0
AMD Radeon R6 (Carrizo),909.0,1437.5,909.0,6896.0
AMD Radeon HD 8650M,1050.0,,1050.0,
Intel HD Graphics 5600,991.0,1431.0,991.0,
AMD Radeon HD 8650G + HD 8570M Dual Graphics,861.0,2004.0,861.0,6970.0
AMD Radeon HD 8550G + HD 8670M Dual Graphics,910.5,1942.0,910.5,5229.5
AMD Radeon R6 M255DX,1114.5,2198.0,1114.5,
AMD Radeon HD 7640G + HD 7670M Dual Graphics,623.0,1649.0,623.0,8451.5
AMD Radeon HD 7670M,824.0,1061.5,824.0,8203.0
AMD Radeon R5 M335,911.0,1784.0,911.0,5921.0
AMD Radeon R5 M430,1004.0,1689.0,1004.0,6246.0
AMD Radeon RX Vega 3,1162.0,1723.5,1162.0,11103.0
NVIDIA GeForce 820M,897.0,1266.5,897.0,7518.0
Intel Iris Graphics 6100,874.0,1694.5,874.0,8764.0
AMD Radeon R5 M240,949.0,1588.0,949.0,5698.0
AMD Radeon R5 M315,920.0,,920.0,
AMD Radeon HD 8450G + Radeon HD 8570M Dual Graphics,515.0,1597.0,515.0,4242.0
Intel HD Graphics 6000,951.0,1395.5,951.0,8091.0
Intel Iris Graphics 5100,878.5,1151.0,878.5,6928.5
Intel HD Graphics 5500,663.0,979.0,663.0,6998.0
