Brand,Model,Product Type,Colour,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Resolution,Graphics Card Type,Graphics Card Memory (GB),Camera Resolution (MP),Type,Bluetooth,Other Ports,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
MSI,Pulse GL66 11UCK-624,Gaming laptop,Titanium Grey,Core i7-11800H,8,2.3,4.6 GHz,8,DDR4-3200,M.2 SSD (NVMe PCIe Gen3),512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,,"144Hz, IPS-Level",Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11 ax Wi-Fi 6 ,2.25,2.4cm,35.9cm,25.9cm,5599
Huawei,MateBook 14s,Laptop,Space Grey,Core i5-11300H,4,3.1,4.4 GHz,8,LPDDR4x Dual Channel,NVMe PCIe SSD,512,Windows 10 Home,14.2,2520 x 1680,Intel Iris Xe Graphics G7 80EUs,,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,4999
HP,ENVY x360 Convert 13-ay1013AU,Laptop,Nightfall Black,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,13.3,1920 x 1080,AMD Radeon RX Vega 7,,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"Multitouch-enabled, IPS, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, 400 nits, 100% sRGB",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 1 x USB Type-A ( SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi 6 (2x2),1.3,1.64cm,30.65cm,19.46cm,3999
HP,Laptop 15s-du3023TX,Laptop,Natural Silver,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2666 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce MX350,2,,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,2.53,1.99cm,35.85cm,24.2cm,2999
Asus,Laptop 14 A416 (A416M-ABV344T),Laptop,Grey,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe Gen3 x2 SSD,256,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics 600,,VGA Webcam,"LED backlit, 60Hz Anti-Glare Panel with 45% NTSC",Bluetooth 4.1,,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.5,1.99cm,32.54cm,21.6cm,1799
HP,Pavilion Aero Laptop 13-be0049AU,Laptop,Natural Silver,,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,13.3,1920 x 1200,AMD Radeon RX Vega 7,,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, Edge-to-edge glass, Micro-edge, Anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3197
MSI,Bravo 15 B5DD-098,Gaming laptop, Black,Ryzen 7 5800H,8,3.2,4.4 GHz,8,DDR4-3200,NVMe PCIe Gen3,512,Windows 10 Home,15.6,1920 x 1080,AMD Radeon RX5500M,4,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11 ax Wi-Fi 6 ,2.35,2.5cm,35.9cm,25.9cm,4099
Lenovo,IdeaPad 3 (81WH004WMJ),Laptop,Platinum Grey,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 2400 RAM,M.2 2242 PCIe 3.0 SSD,256,Windows 10 Home,14,1366 x 768,Intel UHD Graphics 600,,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,1497
Asus,A416J-ABV1235TS,Laptop,Slate Grey,Core i3-1005G1,2,,3.4 GHz,4,DDR4,,256,Windows 10 Home,14,1366 x 768,Intel UHD Graphics G1 (Ice Lake 32 EU),,VGA,"16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut, Anti-glare display",Bluetooth 4.1,,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.6,1.99cm,32.54cm,21.6cm,2199
Huawei,MateBook 14,Laptop,Space Grey,Ryzen 5 4600H,6,3.0,4.0 GHz,8,DDR4 2666MHZ,PCIe SSD,512,Windows 10 Home 64,14,2160 x 1440,AMD Radeon RX Vega 6,,720P HD Recessed,IPS,Bluetooth 5.0,,"1 x USB Type-C, 2 x USB Type-A (3.2 Gen 1)","IEEE 802.11a/b/g/n/ac, 2.4 GHz/5 GHz 2 x 2 MIMO",1.49,1.59cm,30.75cm,22.38cm,3497
Acer,Enduro Urban N3 (EUN314-51W-58TL),Laptop,Denim Blue,Core i5-1135G7,4,2.4,4.2 GHz,4,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3199
Acer,Nitro 5 (AN515-45-R7N5),Gaming laptop,Shale Black,Ryzen 7 5800H ,8,3.2,4.4 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce GTX 1650,4,HD,"144 Hz, LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4199
MSI,Creator Z16 A11UET 207,Laptop,Lunar Grey,Core i7-11800H,8,2.3,4.6 GHz,32,DDR4-3200,NVMe PCIe Gen4x4 SSD,1 TB,Windows 10 Pro,16,2560 x 1600,NVIDIA GeForce RTX 3060,6,IR HD Type (30 fps @ 720p),"120Hz DCI-P3 100% typical, Finger Touch panel",Bluetooth 5.2,,"2 x USB Type-C (USB, DisplayPort, Thunderbolt 4), 2 x USB Type-A (3.2 Gen 2)",Killer ax Wi-Fi 6E,2.2,1.59cm,35.9cm,25.6cm,11999
HP,Laptop 15S-EQ1017AU,Laptop,Pale Gold,Athlon Silver 3050U,2,2.3,3.2 GHz,4,DDR4-2400 MHz RAM,,256,Windows 10 Home,15.6,1366 x 768,AMD Radeon RX Vega 2,,HP TrueVision HD Camera with integrated dual array digital microphone,SVA BrightView micro-edge WLED-backlit,Bluetooth 4.2,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)", 802.11ac (1x1) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,1699
