Brand,Model,Product Type,Colour,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Resolution,Graphics Card Type,Graphics Card Memory (GB),Camera Resolution (MP),Type,Bluetooth,Other Ports,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Acer,Nitro 5 (AN515-57-76RF),Gaming laptop,Shale Black,Core i7-11800H,8,2.3,4.6 GHz,8,,PCI Express,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,HD,,Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4799
Acer,Nitro 5 (AN515-57-73H1),Gaming laptop,Shale Black,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4 SDRAM,PCI Express,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce GTX 1650,4,HD,,Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4599
Acer,Aspire 3 (A314-35-C1E0),Laptop,Electric Blue,Celeron N4500,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe NVMe SSD,256,Windows 11 Home,14.1,1920 x 1080,Intel UHD Graphics,,HD,,Bluetooth 4.0,,"1 x USB Type-A (3.0), 2 x USB Type-A (2.0)",IEEE 802.11ac/a/b/g/n,1.65,1.99cm,34.3cm,24.5cm,1799
Acer,Swift 3 (SF314-511-76QE),Laptop,Pure Silver,Core i7-1165G7,4,2.8,4.7 GHz,16,LPDDR4X,,512,Windows 11 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 96EUs,,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.1,,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4, DisplayPort), 2 x USB Type-A (3.2 Gen 1)",Intel Wireless Wi-Fi 6 AX201,1.2,1.59cm,32.28cm,21.22cm,4097
HP,Pavilion Laptop 14-DV1006TX,Laptop,Warm Gold,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14,1920 x 1080,NVIDIA GeForce MX450,2,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3899
Asus,VivoBook Go 14 (E410K-ABV256WS),Laptop, Peacock Blue,Celeron N4500,2,1.1,2.8 GHz,8,DDR4,M.2 NVMe PCIe 3.0 SSD,256,Windows 11 Home,14,1366 x 768,Intel UHD Graphics,,VGA,"16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut for non-OLED, Anti-glare display, Screen-to-body ratio: 78 ％",Bluetooth 4.1,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.3,1.84cm,32.5cm,21.7cm,1999
HP,Spectre x360 Convertible 14-ea1022TU,2-in-1 Laptops,Poseidon Blue,Core i7-1195G7,8,2.9,5.0 GHz ,16,LPDDR4x-4266,,1 TB,Windows 11 Home,13.5,1920 x 1280,Intel Iris Xe Graphics G7 96EUs,,	 HP True Vision 720p HD IR camera with camera shutter and integrated dual array digital microphones,"Multitouch-enabled, IPS, edge-to-edge glass, micro-edge, anti-reflection Corning® Gorilla® Glass NBT™, 400 nits, 100% sRGB",Bluetooth 5.0,,"2 x USB Type-C (Thunderbolt 4 with USB4 SuperSpeed 40 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 10 Gbps signaling rate, HP Sleep and Charge)",Intel Wi-Fi 6 AX201 (2x2),1.34,1.69cm,29.83cm,22.01cm,7099
Acer,Nitro 5 (AN515-45-R91U),Gaming laptop,Shale Black,Ryzen 7 5800H,8,3.2,4.4 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050Ti,4,HD,"LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.20,2.39cm,36.34cm,25.5cm,4699
MSI,Prestige 14 (A11SB-640),Laptop,Carbon Grey,1185G7,,,,16 GB,LPDDR4,NVMe PCIe SSD,512GB,Windows 11 Home,14,1920 x 1080,NVIDIA GeForce MX450,2GB, 30fps@720p,IR HD,Bluetooth v5.2,,2x Type-C (USB / DP / Thunderbolt™) with PD charging; 1x Type-A USB2.0,Killer ax Wi-Fi 6E,1.29,31.9cm,21.9cm,1.59cm,4799
Asus,VivoBook Pro 15 OLED (M3500Q-CL1212TS),Laptop,Quiet Blue,Ryzen 9 5900HX,8,3.3,4.6 GHz,16,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,,OLED,Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax), 1.65,1.89cm,35.98cm,23.53cm,5199
Acer,Aspire 3 (A314-35-C1EO),Laptop,Electric Blue,Celeron N4500,2,1.1,2.8 GHz,4,DDR4 SDRAM,,256,Windows 11 Home,15.6,1920 x 1080,Intel UHD Graphics,,VGA,"LED backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11a/b/g/n/ac,1.9,1.99cm,36.34cm,23.84cm,1625
Asus,Laptop 15 A516 (A516E-AEJ1847WS),Laptop,Transparent Silver,Core i3-i3-1115G4,2,3.0,4.1 GHz,4,DDR4 SO-DIMM,M.2 NVMe PCIe 3.0 SSD,512,Windows 11 Home,15.6,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,,VGA Web Camera (Fixed type),"250 nits, 16:9 Anti-glare display NTSC: 45% IPS-level Panel",Bluetooth 4.1,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac), 1.8,1.99cm,36.02cm,23.49cm,2399
HP,Envy x360 13-BD0508TU,2-in-1 Laptops,Pale Gold,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2933 MHz RAM,PCIe NVMe TLC SSD,512,Windows 10 Home,13.3,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,"OLED, multitouch-enabled, UWVA, edge-to-edge glass, micro-edge, Corning Gorilla Glass NBT, 400 nits, 100% DCI-P3",Bluetooth 5.0,,"1 x USB Type-C (40 Gbps signaling rate, USB4, Thunderbolt 4, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps Signaling Rate, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps Signaling Rate)",Intel Wi-Fi 6 AX201 (2x2),1.33,1.64cm,30.65cm,19.46cm,4245
HP,Pavilion Laptop 14-DV1028TU,Laptop,Natural Silver,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3559
,Laptop 15S-FQ2511TU,Laptop,Pale Gold,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-2666 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,15.6,1920 x 1080,Intel Iris Xe Graphics,,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.7,1.79cm,35.8cm,24.2cm,3029
Lenovo,IdeaPad 3 (82H80256MJ),Laptop,Abyss Blue,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200,M.2 2280 PCIe 3.0x4 NVMe SSD,512,Windows 11 Home,15.6,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,720p with Privacy Shutter,"TN, 250 nits, Anti-glare",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1),1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac (2x2),1.65,1.99cm,35.92cm,23.65cm,2997
MSI,Modern 15 (A5M-094),Laptop,Carbon Gray,Ryzen 7 5700U,8,1.8,4.3 GHz,8,DDR4-3200,NVMe PCIe Gen3,512,Windows 10 Home,15.6,1920 x 1080,AMD Radeon RX Vega 8,,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,,"1 x USB Type-C (3.2 Gen 2), 3 x USB Type-A (3.2 Gen 2)",802.11 ax Wi-Fi 6 ,1.6,1.69cm,35.68cm,23.38cm,3099
Asus,Laptop 14 A416 (A416M-ABV550W),Laptop,Transparent Silver,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe Gen3 x2 SSD,256,Windows 11 Home,14,1920 x 1080,Intel UHD Graphics 600,,VGA Webcam,"LED backlit, 60Hz Anti-Glare Panel with 45% NTSC",Bluetooth 4.1,,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.5,1.99cm,32.54cm,21.6cm,1699
Acer,Swift 3 (SF314-511-51XN),Laptop,Pure Silver,Core i5-1135G7,4,2.4,4.2 GHz,8,LPDDR4X,PCI Express SSD,512,Windows 11 Home,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HD,"LED, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4, DisplayPort), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11 a/g/n/ac/ax,1.2,1.6cm,32.34cm,21.89cm,3599
HP,Laptop 15S-EQ2070AU,Laptop,Spruce Blue,Ryzen 5 5500U,6,2.1,4.0 GHz,8,DDR4-3200,,512,Windows 10 Home,15.6,1920 x 1080,AMD Radeon RX Vega 7,,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,2,1.79cm,35.85cm,24.2cm,2699
Asus,ROG Zephyrus (GA503Q-MHQ077T),Gaming laptop,Eclipse Grey,5900HS,8,3.0 GHz,4.6 GHz,16 GB,DDR4-3200,NVMe PCIe SSD,512 GB,Windows 10 Home,"15.6""",2560 x 1440,GeForce RTX 3060,6 GB,,,Bluetooth v5.1,,2 x Type-C USB3.2 Gen2; 2 x Type-A USB3.2 Gen2,WiFi 6 (802.11ax),1.90,1.99cm,35.5cm,24.3cm,6999
Acer,Nitro 5 (AN515-45-R7ND),Gaming laptop,Shale Black,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce GTX1650,4,HD,"LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.20,2.39cm,36.34cm,25.5cm,3699
MSI,Vector GP66 12UE 272,Gaming laptop, Black,Core i7-12700H,,,,16,DDR4 3200MHz,NVMe PCIe Gen4,1 TB,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3060,6,HD,"240Hz, IPS-Level",Bluetooth 5.2,1 x Mini DisplayPort,"1 x USB Type-C (3.2 Gen 2, DisplayPort), 3 x USB Type-A (3.2 Gen 1)",Intel Killer AX Wi-Fi 6E,2.38,2.59cm,39.7cm,28.4cm,7999
Acer,Swift X (SFX14-41G-R8QW),Laptop Adapter,Steam Blue,Ryzen 5 5600U,6,2.3,4.2 GHz,8, LPDDR4X,PCI Express SSD,512,Windows 10 Home,14,1920 x 1080,NVIDIA GeForce RTX 3050Ti,4,HD,"LED backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",802.11ax Wi-Fi 6,1.5,1.79cm,32.28cm,21.22cm,4299
HP,ENVY x360 Laptop 13-ay1012AU,2-in-1 Laptops,Nightfall Black Aluminium,5800U,,,4.4GHz,16 GB,DDR4-3200 MHz,PCIe NVMe M.2 SSD,512 GB,Windows 11 Home,13.3,1920 x 1080,AMD Radeon Graphics,,,,Bluetooth 5.2,,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A",Realtek Wi-Fi 6 (2x2),1.32,19.46cm,30.65cm,1.64cm,4799
HP,Pavilion 14-DV1007TX,Laptop,Natural Silver,Core i5-1155G7,4,2.5,4.5 GHz,,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14,1920 x 1080,NVIDIA GeForce MX450,2,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3899
HP,Laptop 14s-fq1043AU,Laptop,Pale Gold,Ryzen 3 5300U,4,2.6,3.8 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14,1920 x 1080,AMD Radeon RX Vega 6,,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,2599
MSI,GF63 Thin 11SC-625MY,Gaming laptop, Black,Core i5-11400H,4,,,8,,SSD,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce GTX1650,4,HD,,,,,Intel Wi-Fi 6 AX201 (2x2),1.86,2.17cm,35.9cm,25.4cm,3799
MSI,Katana GF66 12UD-041MY,Gaming laptop, Black,Core i7-12700H,14,,,8,,NVMe PCIe SSD Gen4x4,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050Ti,4,HD,"144Hz, IPS-Level",Bluetooth 5.2,,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11 ax Wi-Fi 6 ,2.25,2.49cm,35.9cm,25.9cm,5299
HP,Pavilion Laptop 15-EG1031TU,Laptop,Fog Blue,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,15.6,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.7,1.79cm,36.02cm,23.4cm,3559
Asus,ZenBook 14 (UX425E-AKI435TS),Laptop,Pine Grey,Core i7-1165G7,4,,,8,,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics,,HD,,,,"2 x USB Type-C (Thunderbolt 4), 1 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),1.17,1.39cm,31.9cm,20.8cm,4699
HP,Omen 16-B0074TX,Gaming laptop,Shadow Black,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4-3200 MHz RAM,PCIe NVMe TLC M.2 SSD,512,Windows 10 Home,16.1,2560 x 1440,NVIDIA GeForce RTX 3070 with Max-Q design,8,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"165 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",Bluetooth 5.0,1 x mini DisplayPort,"1 x USB Type-C (40 Gbps signaling rate, USB4, Thunderbolt 4, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A  (SuperSpeed 5 Gbps Signaling Rate, HP Sleep and Charge), 2 x USB Type-A  (SuperSpeed 5 Gbps Signaling Rate)",Intel Wi-Fi 6 AX201 (2x2),2.3,2.3cm,36.92cm,24.8cm,7397
Asus,Vivobook Pro 15 OLED (M3500Q-CL1185TS),Laptop,Quiet Blue,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,," 16:9, 400nits, 100% DCI-P3 color gamut, Pantone Validated, Glossy display, Screen-to-body ratio: 84 ％",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax),1.65,1.99cm,35.98cm,23.53cm,4097
MSI,GF65 Thin (10UE-266),Gaming laptop, Black,Core i7 10750H,6,2.6,5.0 GHz,8,DDR4 2666MHz,NVMe PCIe SSD,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3060 Max-Q,6,HD,144Hz IPS-Level,Bluetooth 5.1,,"2 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1)",802.11 ax Wi-Fi 6 ,1.86,2.17cm,35.9cm,25.4cm,5299
MSI,GF63 Thin 11UC-236,Gaming laptop, Black,Core i5-11400H,4,,,8,,SSD,512,Windows 11 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,HD,,,,,Intel Wi-Fi 6 AX201 (2x2),1.86,2.17cm,35.9cm,25.4cm,4299
Asus,VivoBook 15 OLED (K513E-AL13024WS),Laptop,Indie Black,Core i3-1125G4,4,,,4,,M.2 NVMe PCIe 3.0 SSD,512,Windows 11 Home,15.6,1920 x 1080,Intel UHD Graphics,,HD,OLED,Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax),1.8,1.79cm,35.9cm,23.5cm,2699
,IdeaPad 3 (81WH004VMJ),Laptop,Blue,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 2400 RAM,M.2 2242 PCIe 3.0 SSD,256,Windows 10 Home,14,1366 x 768,Intel UHD Graphics 600,,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,1497
HP,Pavilion Aero Laptop 13-be0044AU,Laptop,Pale Rose Gold,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,,13.3,2560 x 1600,AMD Radeon RX Vega 7,,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3527
Asus,TUF Dash F15 (2021) (FX516P-CHN013T),Gaming laptop,Eclipse Gray,Core i5-11300H,4,3.1,4.4 GHz,8,DDR4 3200 RAM,,512,Windows 10 Home,15.6,1920 x 1080,NVIDIA GeForce RTX 3050,4,HD,"144 Hz, IPS",,,"1 x USB Type-C (Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),2,1.99cm,36cm,25.2cm,4199
Asus,Zenbook Duo 14 (UX482E-GHY269TS),Laptop,Celestial Blue,Core i7-1165G7,4,2.8,4.7 GHz,16,LPDDR4X,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14,1920 x 1080,NVIDIA GeForce MX450,2,HD camera with IR function to support Windows Hello,"16:9,IPS-level Panel,Anti-glare display,LED Backlit,400nits,sRGB: 100%,Pantone Validated,Screen-to-body ratio: 93 ％,With stylus support",Bluetooth 5.0,,"2 x USB Type-C (Thunderbolt 4, Display/Power Delivery), 1 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),1.62,1.73cm,32.42cm,22.2cm,6999
HP,ProBook 440 G8,Laptop,Pike Silver,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200 SDRAM,PCIe NVMe M.2 SSD,512,Windows 10 Pro 64,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,720p HD camera,"IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 10Gbps signaling rate, USB Power Delivery, DisplayPort), 3 x USB Type-A (SuperSpeed USB 5Gbps signaling rate) (1 charging, 1 power)",Intel AX201 Wi-Fi 6 (2x2),1.38,1.99cm,32.19cm,21.39cm,3799
Lenovo,IdeaPad 3 (82H700D8MJ),Laptop,Arctic Grey,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200,M.2 2242 PCIe 3.0×4 NVMe SSD,512,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,2499
Acer,Enduro Urban N3 (EUN314-51W-72QE),Laptop,Denim Blue,Core i7-1165G7,4,2.8,4.7 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14,1920 x 1080,Intel Iris Xe Graphics,,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3899
HP,Laptop 14S-FQ1044AU,Laptop,,Ryzen 3 5300U,4,2.6,3.8 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,14,1920 x 1080,AMD Radeon RX Vega 6,,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,2197
HP,Pavilion Aero 13.3 (13-BE0029AU),Laptop,Pale Rose Gold,Ryzen 7 5800U,8,1.9,4.4 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,51,Windows 10 Home Single Language 64,13.3,2560 x 1600,AMD Radeon RX Vega 8,,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3999
Lenovo,ThinkBook 14 Gen 2 (20VD003HMJ),Laptop,Mineral Grey,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4 3200MHz RAM ,M.2 2242 NVMe TLC SSD ,512,Windows 10 Pro,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,720p HD,"IPS, 250 nits, Anti-glare ",Bluetooth 5.1,,"1 x USB Type-C (Thunderbolt 4, USB4), 1 x USB Type-C (3.1 Gen 2, DP 3.0, DisplayPort 1.4), 2 x USB Type-A (3.0 Gen 1)",Intel Wi-Fi 6 AX201 (2x2),1.4,1.79cm,32.3cm,21.8cm,3599
HP,Laptop 14s-dq3001TU,Laptop,,Celeron N4500,2,1.1,2.8 GHz,4,DDR4-2933 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14,1920 x 1080,Intel UHD Graphics,,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,"1 x USB Type-C (SuperSpeed 5 Gbps Signalling Rate), 2 x USB Type-A (SuperSpeed 5 Gbps Signalling Rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,1999
Dell,Latitude 3420,Laptop, Black,Core i5-1135G7,4,2.4,4.2 GHz,8,3200MHz DDR4 Non-ECC,PCIe NVMe M.2 Class 35 Solid State Drive,256,Windows 10 Pro 64,14,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,,720p,"AG Non-Touch, 250nits,",Bluetooth 5.1,,"1 x USB Type-C (3.2 Gen 2 with DisplayPort alt mode/Power Delivery), 1 x USB Type-A (3.2 Gen 1 with PowerShare), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Intel Dual Band Wi-Fi 6 AX201 2x2 802.11ax 160MHz,1.52,1.76cm,32.6cm,22.6cm,3599
