name,mark
NVIDIA Maxwell GPU Surface Book,123411
AMD Radeon RX Vega 8 (Ryzen 5000),300466
AMD Radeon RX Vega 8 (Ryzen 4000),196898
NVIDIA GeForce 940MX,147706
AMD Radeon RX Vega 8 (Ryzen 2000/3000),113247
NVIDIA GeForce 940M,123311
NVIDIA GeForce 930MX,135057
Intel Iris Plus Graphics 655,143400
AMD Radeon R7 M370,118746
NVIDIA GeForce 840M,119888
Intel Iris Pro Graphics 5200,110085
Intel Iris Graphics 550,144742
AMD Radeon RX Vega 6 (Ryzen 4000/5000),182608
Intel Iris Plus Graphics 640,145481
Intel Iris Graphics 540,126078
NVIDIA GeForce GT 730M,86656
NVIDIA GeForce GT 640M,80836
AMD Radeon R8 M365DX,67635.5
AMD Radeon R7 M360,82837
AMD Radeon R8 M445DX,71829
AMD Radeon R7 M340,69098
AMD Radeon R6 M340DX,59574
AMD Radeon RX Vega 5,128628
Intel UHD Graphics 630,106362
Intel HD Graphics 630,101178
Intel HD Graphics 530,80241.5
Intel UHD Graphics 620,88725
AMD Radeon R6 (Carrizo),53702.5
NVIDIA GeForce GT 630M,58812
AMD Radeon RX Vega 3,80755
Intel HD Graphics 520,73656
NVIDIA GeForce GT 720M,59694
AMD Radeon R5 (Stoney Ridge),51382
Intel HD Graphics 4600,42242.5
Qualcomm Adreno 630,81385.5
Intel UHD Graphics 617,77156
Intel HD Graphics 615,70743
Intel HD Graphics 5000,65904
Intel HD Graphics 515,56787
Intel HD Graphics 610,41956.5
Intel HD Graphics 510,43274
Intel UHD Graphics 605,45008
Intel HD Graphics 5300,59555
AMD Radeon R4 (Stoney Ridge),42677
AMD Radeon R4 (Beema),29548
AMD Radeon R2 (Stoney Ridge),38046.5
AMD Radeon HD 8450G,55358
AMD Radeon HD 8350G,46807
Intel HD Graphics 500,24609
Intel HD Graphics 400 (Braswell),20277
AMD Radeon R6 (Mullins),20511
AMD Radeon HD 8210,26764
